Program,xPONENT,,Unknown,,,
"77(1,E10)",30,4.403113742,< 82.2021484375,0.099281495,< 1.86767578125,305
"78(1,F10)",41,2.562115067,< 82.2021484375,< 5.2734375,< 1.86767578125,242
"79(1,G10)",55,0.506531483,< 82.2021484375,0.003063804,2.490670678,250
"80(1,H10)",208,3.057808244,< 82.2021484375,< 5.2734375,< 1.86767578125,234
"81(1,A11)",93,0.506531483,< 82.2021484375,0.003063804,< 1.86767578125,266
"82(1,B11)",216,< 1.6845703125,< 82.2021484375,< 5.2734375,< 1.86767578125,212
"83(1,C11)",219,17.48785758,< 82.2021484375,< 5.2734375,< 1.86767578125,261
"84(1,D11)",170,2.72672729,< 82.2021484375,0.003063804,0.984019248,239
"85(1,E11)",180,2.72672729,< 82.2021484375,< 5.2734375,< 1.86767578125,237
"86(1,F11)",296,< 1.6845703125,< 82.2021484375,0.003063804,< 1.86767578125,240
,,,,,,
DataType:,Range,,,,,
Location,Sample,CNTF,GDNF,NGF,BDNF,Total Events
"1(1,A1)",Standard1,,,,,235
"2(1,B1)",Standard2,,,,,246
"3(1,C1)",Standard3,,,,,236
"4(1,D1)",Standard4,,,,,276
"5(1,E1)",Standard5,,,,,256
"6(1,F1)",Standard6,,,,,230
"7(1,G1)",Standard7,,,,,227
"8(1,H1)",Background0,,,,,215
"9(1,A2)",Standard1,,,,,252
"10(1,B2)",Standard2,,,,,244
"11(1,C2)",Standard3,,,,,237
"12(1,D2)",Standard4,,,,,228
"13(1,E2)",Standard5,,,,,249
"14(1,F2)",Standard6,,,,,219
"15(1,G2)",Standard7,,,,,217
"16(1,H2)",Background0,,,,,266
"17(1,A3)",312,,,,,258
"18(1,B3)",309,,,,,230
"19(1,C3)",308,,,,,224
"20(1,D3)",301,,,,,247
"21(1,E3)",298,,,,,270
"22(1,F3)",287,,,,,238
"23(1,G3)",286,,,,,222
"24(1,H3)",284,,,,,384
"25(1,A4)",282,,,,,266
"26(1,B4)",281,,,,,349
"27(1,C4)",280,,,,,630
"28(1,D4)",264,,,,,415
"29(1,E4)",261,,,,,236
"30(1,F4)",247,,,,,242
"31(1,G4)",210,,,,,247
"32(1,H4)",207,,,,,224
"33(1,A5)",194,,,,,248
"34(1,B5)",193,,,,,441
"35(1,C5)",192,,,,,220
"36(1,D5)",167,,,,,217
"37(1,E5)",162,,,,,243
"38(1,F5)",153,,,,,316
"39(1,G5)",148,,,,,265
"40(1,H5)",83,,,,,224
"41(1,A6)",82,,,,,227
"42(1,B6)",36,,,,,220
"43(1,C6)",33,,,,,243
"44(1,D6)",29,,,,,255
"45(1,E6)",15,,,,,265
"46(1,F6)",16,,,,,231
"47(1,G6)",229,,,,,284
"48(1,H6)",28,,,,,225
"49(1,A7)",79,,,,,232
"50(1,B7)",47,,,,,351
"51(1,C7)",40,,,,,240
"52(1,D7)",275,,,,,385
"53(1,E7)",232,,,,,214
"54(1,F7)",228,,,,,250
"55(1,G7)",197,,,,,218
"56(1,H7)",181,,,,,233
"57(1,A8)",156,,,,,240
"58(1,B8)",147,,,,,217
"59(1,C8)",141,,,,,228
"60(1,D8)",134,,,,,279
"61(1,E8)",132,,,,,282
"62(1,F8)",131,,,,,228
"63(1,G8)",113,,,,,227
"64(1,H8)",99,,,,,244
"65(1,A9)",95,,,,,217
"66(1,B9)",94,,,,,221
"67(1,C9)",87,,,,,234
"68(1,D9)",69,,,,,238
"69(1,E9)",68,,,,,222
"70(1,F9)",205,,,,,212
"71(1,G9)",24,,,,,567
"72(1,H9)",63,,,,,214
"73(1,A10)",306,,,,,207
"74(1,B10)",290,,,,,258
"75(1,C10)",17,,,,,222
"76(1,D10)",198,,,,,377
"77(1,E10)",30,,,,,305
"78(1,F10)",41,,,,,242
"79(1,G10)",55,,,,,250
"80(1,H10)",208,,,,,234
"81(1,A11)",93,,,,,266
"82(1,B11)",216,,,,,212
"83(1,C11)",219,,,,,261
"84(1,D11)",170,,,,,239
"85(1,E11)",180,,,,,237
"86(1,F11)",296,,,,,240
,,,,,,
DataType:,Avg Net MFI,,,,,
Sample,CNTF,GDNF,NGF,BDNF,,
Standard1,9625.5,3604.25,15841.75,5929.5,,
Standard2,5460.5,3622.5,15150.5,7692.25,,
Standard3,1926.25,2750.75,5890.5,3218.75,,
Standard4,544,1933.75,2338.5,654.5,,
Standard5,143.25,569.25,740.75,150.25,,
Standard6,48.25,135.75,225.25,49.5,,
Standard7,17.75,48.5,84.75,22.5,,
312,32.5,-1.25,2.25,91.75,,
309,18,-6.25,2.25,50.75,,
308,-5.5,-6.25,4.75,13.25,,
301,49.5,-11.25,-3.75,11.75,,
298,57,-4.25,0.25,11.75,,
287,20,-18.25,0.25,-3.25,,
286,11.5,-11.25,1.25,24.25,,
284,4,-12.25,-1.75,0.75,,
282,18,-16.25,-1.75,6.75,,
281,19.5,-8.25,-0.75,22.75,,
280,18,-13.25,-1.75,3.75,,
264,106,-6.25,-3.25,29.75,,
261,29.5,-8.25,-1.75,0.25,,
247,9,-2.75,-2.75,17.75,,
210,-11,-10.25,1.25,5.25,,
207,13.5,-4.75,0.75,36.25,,
194,14.5,-1.75,-1.75,1.25,,
193,59,-17.25,0.25,-5.25,,
192,32,-17.25,-0.75,-1.25,,
167,-11.5,-15.25,-1.75,-4.25,,
162,18.5,-13.25,-2.75,1.75,,
153,44,-22.25,-0.75,-6.25,,
148,82.5,-16.25,0.25,12.75,,
83,15.5,-6.25,1.25,6.75,,
82,48,-21.25,-2.75,2.75,,
36,-5.5,-16.25,4.75,-1.25,,
