mm,N/mm_
0.696972653,0.022044368
0.697656302,-0.019376555
0.698339834,-0.002348644
0.699023425,0.043200232
0.699707016,0.016531698
0.700341829,0.001290736
0.701025361,-0.01066979
0.701660174,-0.004908773
0.702294928,0.004048161
0.702929683,-0.009288955
0.703613274,0.012253136
0.704296865,0.055568811
0.704931619,0.006517948
0.705566432,-0.006301855
0.706250023,0.011714239
0.706835941,0.021278948
0.707519532,-0.010574477
0.708203122,-0.005062414
0.708837877,0.017414382
0.709521468,0.012716365
0.710156281,-0.020131547
0.710839871,-0.030374609
0.711523404,0.010285504
0.712206995,-0.017406983
0.712841807,-0.008917645
0.713574234,0.038326263
0.714257825,0.039935436
0.71489258,-0.028166631
0.71557617,-0.00898725
0.716308597,-0.033022288
0.716992188,0.023141686
0.717675779,0.038834967
0.71835937,0.011758621
0.719091797,0.058444105
0.719775388,0.013131816
0.720458978,-0.004748462
0.721142569,0.039492946
0.721826218,0.005087516
0.722460914,-0.039473664
0.723144505,0.038847093
0.723828154,-0.010041399
0.724511745,0.034457695
0.725146499,0.002091685
0.725781254,0.058573373
0.726416009,-0.025811195
0.727050763,0.029397704
0.727734412,0.039935436
0.728369108,0.044931643
0.729052699,0.009048852
0.729687512,0.021855317
0.730322266,0.012870249
0.731005857,0.03248788
0.731640612,-0.005046893
0.732324261,-0.039314806
0.733007793,-0.004033731
0.733642606,0.017369028
0.734277361,0.079299234
0.734960893,-0.008940685
0.735644542,-0.044472415
0.736328133,0.01767995
0.736962887,0.021302352
0.737646478,0.013465899
0.738330069,0.029338164
0.73901366,0.034950148
0.739648473,0.00051804
0.740332005,0.002459116
0.741015596,-0.039788466
0.741748023,0.008481579
0.742431614,0.018785393
0.743066426,0.002908399
0.743749959,0.018743437
0.744433608,0.012866733
0.745068362,0.01735387
0.745751953,0.017743248
0.746435544,-0.022618795
0.747070299,0.016931022
0.747705111,-0.02685431
0.748339808,-0.012745105
