Wavelength,Temperature,Control 1A,25 ppm 1A,20 ppm 1A,Control 2A,25 ppm 2A,20 ppm 2A,Control 3A,25 ppm 3A,20 ppm 3A,Control 1B,25 ppm 1B,20 ppm 1B,Control 2B,25 ppm 2B,20 ppm 2B,Control 3B,25 ppm 3B,20 ppm 3B,Control 1C,25 ppm 1C,20 ppm 1C,Control 2C,25 ppm 2C,20 ppm 2C,Control 3C,25 ppm 3C,20 ppm 3C,
720,24.2,0.028366667,-0.251833333,-0.170833333,-0.083833333,0.012266667,0.012366667,0.055466667,-0.203633333,-0.005333333,0.0302667,-0.2615333,-0.1700333,-0.082733333,0.013466667,0.017766667,0.052466667,-0.197533333,-0.000933333,0.0344,-0.2577,-0.1695,-0.0859,0.018,0.0198,0.0515,-0.1985,-0.0013,
730,24.2,0.0296,-0.2514,-0.172,-0.0833,0.0101,0.0122,0.0537,-0.2028,-0.0011,0.0312667,-0.2599333,-0.1708333,-0.081933333,0.012866667,0.017666667,0.050666667,-0.196833333,0.002866667,0.035833333,-0.256666667,-0.170266667,-0.085166667,0.015933333,0.032133333,0.049333333,-0.197466667,0.002033333,
740,24.2,0.031066667,-0.251833333,-0.173433333,-0.082633333,0.009566667,0.010866667,0.051566667,-0.202233333,0.001366667,0.0321667,-0.2599333,-0.1719333,-0.080733333,0.012266667,0.016966667,0.048566667,-0.195733333,0.007166667,0.0368,-0.2583,-0.1718,-0.0842,0.015,0.0234,0.0474,-0.1963,0.0044,
750,24.2,0.032566667,-0.250933333,-0.174633333,-0.082833333,0.006966667,0.010866667,0.050266667,-0.202433333,0.003166667,0.0335,-0.2585,-0.1734,-0.0809,0.0097,0.0164,0.0474,-0.1964,0.0086,0.038166667,-0.256633333,-0.172833333,-0.084133333,0.012666667,0.020266667,0.045966667,-0.196533333,0.007866667,
760,24.2,0.032533333,-0.248266667,-0.175966667,-0.081666667,0.004433333,0.010933333,0.049133333,-0.202766667,0.004933333,0.0347333,-0.2568667,-0.1752667,-0.080466667,0.006933333,0.016333333,0.045733333,-0.197266667,0.009933333,0.039466667,-0.254333333,-0.174533333,-0.084033333,0.009666667,0.018366667,0.044566667,-0.197333333,0.008766667,
770,24.2,0.033933333,-0.247766667,-0.177366667,-0.081966667,0.001433333,0.011133333,0.048033333,-0.203566667,0.006233333,0.0352667,-0.2560333,-0.1762333,-0.080233333,0.003866667,0.016966667,0.044966667,-0.197733333,0.010466667,0.040166667,-0.252833333,-0.175533333,-0.083933333,0.007766667,0.017966667,0.043766667,-0.198233333,0.009766667,
780,24.2,0.034933333,-0.247066667,-0.179866667,-0.081466667,-0.001866667,0.009633333,0.046533333,-0.204366667,0.007533333,0.0361333,-0.2541667,-0.1781667,-0.079566667,0.002033333,0.015433333,0.043433333,-0.198866667,0.011633333,0.0411,-0.2521,-0.1774,-0.0833,0.0046,0.0167,0.0422,-0.1987,0.0127,
790,24.2,0.0358,-0.2458,-0.1819,-0.0811,-0.0037,0.009,0.0453,-0.2053,0.0091,0.0373333,-0.2545667,-0.1801667,-0.079366667,-0.001066667,0.015033333,0.042033333,-0.198866667,0.013233333,0.041833333,-0.249866667,-0.179066667,-0.082666667,0.003633333,0.016233333,0.040833333,-0.198666667,0.014933333,
800,24.2,0.0367,-0.2449,-0.1832,-0.081,-0.0055,0.0085,0.0443,-0.2051,0.0111,0.0380333,-0.2535667,-0.1814667,-0.078966667,-0.002366667,0.014633333,0.040933333,-0.199266667,0.015333333,0.043133333,-0.250566667,-0.181166667,-0.082366667,0.000833333,0.014933333,0.039233333,-0.199366667,0.016433333,
810,24.2,0.038166667,-0.245633333,-0.185633333,-0.080833333,-0.008033333,0.006766667,0.042666667,-0.205433333,0.012266667,0.0395667,-0.2536333,-0.1833333,-0.078933333,-0.004733333,0.013066667,0.039366667,-0.199533333,0.016666667,0.0436,-0.2517,-0.1826,-0.0819,-0.0016,0.0136,0.0383,-0.1992,0.0187,
820,24.2,0.039366667,-0.245833333,-0.187733333,-0.080633333,-0.009433333,0.005166667,0.041266667,-0.206133333,0.014966667,0.0403,-0.2541,-0.1858,-0.0785,-0.0062,0.0111,0.0382,-0.2002,0.0197,0.045266667,-0.251333333,-0.185033333,-0.082233333,-0.003233333,0.011166667,0.036966667,-0.200133333,0.021166667,
830,24.2,0.039633333,-0.243866667,-0.188066667,-0.080766667,-0.011266667,0.006133333,0.041133333,-0.207366667,0.015033333,0.0403667,-0.2535333,-0.1862333,-0.077833333,-0.008533333,0.012166667,0.037466667,-0.200733333,0.019866667,0.045066667,-0.250633333,-0.185333333,-0.081933333,-0.004933333,0.012866667,0.036866667,-0.200633333,0.020766667,
840,24.2,0.039966667,-0.243733333,-0.189933333,-0.079933333,-0.014333333,0.005666667,0.039966667,-0.208533333,0.015566667,0.0408333,-0.2541667,-0.1878667,-0.077866667,-0.012366667,0.011833333,0.037033333,-0.202566667,0.020133333,0.045433333,-0.249266667,-0.187066667,-0.081666667,-0.007566667,0.012633333,0.036233333,-0.201866667,0.020333333,
850,24.2,0.0412,-0.2428,-0.1923,-0.0801,-0.0167,0.0035,0.0389,-0.2099,0.016,0.0414333,-0.2544667,-0.1905667,-0.077666667,-0.014666667,0.009633333,0.036233333,-0.203266667,0.020133333,0.046966667,-0.250433333,-0.189533333,-0.082133333,-0.010733333,0.011066667,0.035166667,-0.203733333,0.020966667,
860,24.2,0.0411,-0.2446,-0.1938,-0.0794,-0.019,0.0024,0.0383,-0.2107,0.0171,0.0418,-0.2543,-0.1921,-0.0773,-0.0167,0.0089,0.0355,-0.2041,0.0225,0.0472,-0.2511,-0.1912,-0.0815,-0.0129,0.0096,0.0343,-0.2041,0.0208,
870,24.2,0.041533333,-0.246966667,-0.196266667,-0.078566667,-0.021366667,3.33E-05,0.037033333,-0.210366667,0.019833333,0.0436,-0.2571,-0.195,-0.0778,-0.0188,0.0053,0.0342,-0.2045,0.0231,0.0477,-0.2524,-0.1937,-0.0805,-0.0153,0.0066,0.0328,-0.2045,0.0226,
880,24.2,0.0425,-0.2466,-0.1979,-0.0791,-0.0239,-0.0004,0.0366,-0.2115,0.0197,0.0433667,-0.2554333,-0.1960333,-0.077033333,-0.020433333,0.005366667,0.033666667,-0.206033333,0.022666667,0.048566667,-0.251133333,-0.195033333,-0.081033333,-0.016633333,0.006666667,0.032466667,-0.206333333,0.023166667,
890,24.2,0.041866667,-0.244133333,-0.197133333,-0.078733333,-0.024833333,0.001166667,0.036866667,-0.212133333,0.020666667,0.0433,-0.253,-0.1957,-0.0769,-0.0223,0.0069,0.0336,-0.2071,0.0222,0.048866667,-0.248933333,-0.194533333,-0.081033333,-0.018733333,0.008766667,0.032166667,-0.206533333,0.023266667,
900,24.2,0.0427,-0.2447,-0.1988,-0.0788,-0.0274,0.0003,0.0361,-0.2137,0.0214,0.0434667,-0.2525333,-0.1965333,-0.076533333,-0.024033333,0.006466667,0.033066667,-0.207933333,0.022966667,0.0492,-0.2494,-0.1957,-0.0806,-0.0205,0.0085,0.0314,-0.2072,0.0234,
